CRN,Course,Section,Start,End,Day,Location,Schedule Type,Instructor,Date Range,Type
 20529 , DASC 5420 , 01,8:30 am , 9:45 am,T,Old Main Building 2422,Class,Md Erfanul   Hoque ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 20529 , DASC 5420 , 01,8:30 am , 9:45 am,F,Old Main Building 2422,Class,Md Erfanul   Hoque ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 20530 , DASC 5420 , S01,8:30 am , 9:20 am,M,Old Main Building 1241,Class,TBA,"Jan 03, 2024 - Apr 20, 2024",Seminar
 22098 , DASC 6510 , 01,11:30 am , 12:45 pm,M,Arts and Education 108,Class,Jabed H.  Tomal ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 22098 , DASC 6510 , 01,11:30 am , 12:45 pm,W,Arts and Education 108,Class,Jabed H.  Tomal ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 22237 , DASC 6510 , 02,8:30 am , 9:45 am,W,Old Main Building 2621,Class,Jianping   Yu ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 22237 , DASC 6510 , 02,8:30 am , 9:45 am,F,Old Main Building 2621,Class,Jianping   Yu ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 20534 , DASC 6810 , 01,10:30 am , 11:20 am,M,Old Main Building 1241,Class,Mohamed A  Tawhid ,"Jan 03, 2024 - Apr 20, 2024",Seminar
 21513 , STAT 1200 , 01,2:30 pm , 3:20 pm,M,Old Main Building 2652,Class,Ihor   Stasyuk ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 21513 , STAT 1200 , 01,2:30 pm , 3:20 pm,W,Old Main Building 2652,Class,Ihor   Stasyuk ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 21513 , STAT 1200 , 01,2:30 pm , 3:20 pm,F,Old Main Building 2652,Class,Ihor   Stasyuk ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 21514 , STAT 1200 , 02,2:30 pm , 3:20 pm,T,Old Main Building 2761,Class,Md Erfanul   Hoque ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 21514 , STAT 1200 , 02,2:30 pm , 3:20 pm,W,Old Main Building 2761,Class,Md Erfanul   Hoque ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 21514 , STAT 1200 , 02,2:30 pm , 3:20 pm,F,Old Main Building 2761,Class,Md Erfanul   Hoque ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 21515 , STAT 1200 , 03,4:30 pm , 5:20 pm,T,Old Main Building 2651,Class,Jianping   Yu ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 21515 , STAT 1200 , 03,4:30 pm , 5:20 pm,W,Old Main Building 2651,Class,Jianping   Yu ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 21515 , STAT 1200 , 03,4:30 pm , 5:20 pm,F,Old Main Building 2651,Class,Jianping   Yu ,"Jan 03, 2024 - Apr 20, 2024",Lecture
 21516 , STAT 1200 , S01,8:30 am , 9:45 am,T,Old Main Building 1330,Class,Ihor   Stasyuk ,"Jan 03, 2024 - Apr 20, 2024",Seminar
 21517 , STAT 1200 , S02,8:30 am , 9:45 am,M,Old Main Building 1355,Class,Md Erfanul   Hoque ,"Jan 03, 2024 - Apr 20, 2024",Seminar
 21518 , STAT 1200 , S03,11:30 am , 12:45 pm,M,Old Main Building 1327,Class,Jianping   Yu ,"Jan 03, 2024 - Apr 20, 2024",Seminar
 21519 , STAT 2000 , 01,1:30 pm , 2:20 pm,T,Old Main Building 1732,Class,Jianping   Yu ,"Jan 03, 2024 - Apr 20, 2024",Lecture
